,lat,long,name,addr,uri,reviews,num_reviews,loc_type,description,price,zone
2335,40.7999495,-73.9621141,Halal Chicks and Platters,"961 Columbus Ave, New York, NY 10025, USA",No URL,Rating: 4.9,15184,Restaurant,"restaurant, food",price level cheap,Bloomingdale
2336,40.802091999999995,-73.9566898,Paint N Pour,"2080 Frederick Douglass Blvd, New York, NY 10026, USA",https://www.paintnpournyc.com/?utm_source=google&utm_medium=organic&utm_campaign=google_business_listing,Rating: 4.9,14181,"Restaurant, Bar","art studio, bar",price level very cheap,Central Harlem
2337,40.802235499999995,-73.96418369999999,Lions Head Tavern,"995 Amsterdam Ave, New York, NY 10025, USA",http://www.lionsheadnyc.com/,Rating: 4.4,1298,"Restaurant, Bar","bar and grill, pub, bar, restaurant, food",price level cheap,Bloomingdale
2338,40.8015048,-73.96451119999999,Super Nice Coffee and Bakery,"196 W 108th St, New York, NY 10025, USA",http://supernice.nyc/,Rating: 4.5,16192,Restaurant,"coffee shop, donut shop, bakery, cafe, food store, store, food",price level very cheap,Bloomingdale
2339,40.800712,-73.965273,Awash Ethiopian Restaurant,"947 Amsterdam Ave, New York, NY 10025, USA",https://awashny.com/,Rating: 4.4,13404,Restaurant,"vegan restaurant, vegetarian restaurant, african restaurant, meal takeaway, restaurant, food",price level moderate,Bloomingdale
2340,40.80311,-73.95662949999999,Melbas Restaurant,"300 W 114th St, New York, NY 10026, USA",https://www.melbasrestaurant.com/,Rating: 4.3,717,Restaurant,"american restaurant, restaurant, food",price level moderate,Central Harlem
2341,40.8035271,-73.955715,Row House,"2128 Frederick Douglass Blvd, New York, NY 10026, USA",https://rowhouseharlem.com/,Rating: 4.2,9115,"Restaurant, Bar","american restaurant, bar, restaurant, food",price level moderate,Central Harlem
2342,40.8006605,-73.9527667,Safari,"55 St Nicholas Ave, New York, NY 10026, USA",http://www.safariharlem.com/,Rating: 4.5,886,Restaurant,"restaurant, food",price level moderate,Central Harlem
2343,40.8007783,-73.9575602,Purple Waves,"285 W 110th St, New York, NY 10026, USA",http://www.purplewaves.nyc/,Rating: 4.6,5241,"Restaurant, Bar","cafe, wine bar, breakfast restaurant, bar, restaurant, food",price level moderate,Central Harlem
2344,40.8023294,-73.9566694,Lalibela Ethiopian Restaurant,"2084 Frederick Douglass Blvd, New York, NY 10026, USA",No URL,Rating: 4.5,19736,"Restaurant, Bar","bar, restaurant, food",price level moderate,Central Harlem
2345,40.8028005,-73.956952,Cantina Taqueria  Tequila Bar,"2099 Frederick Douglass Blvd, New York, NY 10026, USA",http://www.cantinaharlem.com/,Rating: 4.2,19635,"Restaurant, Bar","mexican restaurant, bar, restaurant, food",price level moderate,Central Harlem
2346,40.8001305,-73.951481,Los 3 Charros,"57 Malcolm X Blvd, New York, NY 10026, USA",http://www.los3charros.com/,Rating: 4.4,11220,"Restaurant, Bar","mexican restaurant, vegetarian restaurant, bar and grill, breakfast restaurant, bar, restaurant, food",price level cheap,Central Harlem
2347,40.8003702,-73.95506270000001,Alke Caf,"1838 Adam Clayton Powell Jr Blvd, New York, NY 10026, USA",https://www.alkecafe.co/,Rating: 4.7,3827,"Restaurant, Bar","restaurant, coffee shop, cafe, bar, food store, food, store",price level moderate,Central Harlem
2348,40.8028672,-73.9522614,Tropilyz 116th,"164 W 116th St, New York, NY 10026, USA",No URL,Rating: 4.1,8475,Restaurant,"meal delivery, food delivery, restaurant, food",price level cheap,Central Harlem
2349,40.8001584,-73.9522967,El Valle 46 restaurante,"46 St Nicholas Ave, New York, NY 10026, USA",https://elvalle46restauranteny.com/,Rating: 4.5,12192,Restaurant,"restaurant, food",price level cheap,Central Harlem
2350,40.8029379,-73.95672600000002,Dunkin,"2103 Frederick Douglass Blvd, New York, NY 10026, USA",https://locations.dunkindonuts.com/en/ny/new-york/2103-frederick-douglass-blvd/346759?utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=346759&y_source=1_MTIxMDk0NDItNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,Rating: 3.6,1212,Restaurant,"coffee shop, donut shop, fast food restaurant, bagel shop, bakery, cafe, breakfast restaurant, meal takeaway, food store, store, restaurant, food",price level cheap,Central Harlem
2351,40.8025144,-73.95654979999999,Atomic Wings,"2090 Frederick Douglass Blvd, New York, NY 10026, USA",https://www.beyondmenu.com/21460/new-york/atomic-wings-new-york-10026.aspx,Rating: 3.9,17917,Restaurant,"meal delivery, food delivery, american restaurant, restaurant, food",price level cheap,Central Harlem
2352,40.8019425,-73.95689949999999,Dragon Sushi,"2072 Frederick Douglass Blvd, New York, NY 10026, USA",http://www.dragonsushi8ave.com/,Rating: 3.7,18078,Restaurant,"japanese restaurant, sushi restaurant, restaurant, food",price level moderate,Central Harlem
2353,40.8015312,-73.9577075,Vanity House NYC,"2053 Frederick Douglass Blvd, New York, NY 10026, USA",https://book.squareup.com/appointments/4rz5svc681qlfb/location/LDF4DG4ZYANWM/services?fbclid=PAZXh0bgNhZW0CMTEAAaaXaD0PrL6Wj-5z6I1NXstZgeCdNr9g9kBwQlVcBH4mBXrKUrG6BjxdHUA_aem_NhFm5MjXnVEDnyzM_xmxMA,Rating: 4.6,11621,Restaurant,"cafe, sauna, nail salon, beauty salon, public bath, spa, health, food",price level very cheap,Central Harlem
2354,40.8025958,-73.9501971,Amy Ruths,"113 W 116th St, New York, NY 10026, USA",http://amyruths.com/,Rating: 4.3,14894,Restaurant,"brunch restaurant, american restaurant, restaurant, food",price level moderate,Central Harlem
2355,40.802343,-73.9510933,Le Baobab Gouygui,"120 W 116th St, New York, NY 10026, USA",https://www.lebaobabharlem.com/home,Rating: 4.1,17904,Restaurant,"meal delivery, food delivery, restaurant, food",price level cheap,Central Harlem
2356,40.8023436,-73.9511033,Make My Fish,"120 W 116th St, New York, NY 10026, USA",https://www.makemyfish116.com/,Rating: 4.5,10280,Restaurant,"seafood restaurant, restaurant, food",price level moderate,Central Harlem
